#,SkillsShortage,Kompetensbrist,"Företagen berättar att de helt enkelt inte kan hitta tillräckligt skickliga och utbildade människor att anställa. Den moderna ekonomin blir alltmer kompetensbaserad och våra medborgare är inte tillräckligt utbildade för att ta sin plats i den moderna arbetskraften. Detta kommer att ha en negativ inverkan på ekonomin., Företagsledare har klagat över att vi helt enkelt inte har tillräckligt med högkvalificerade arbetare för att fylla lediga platser., Företagsledare informerar dig om att det inte längre finns en märkbar kompetensbrist i ekonomin. Våra medborgare är nu tillräckligt utbildade och utbildade för att tillgodose ekonomiernas behov.
#,Pollution,Förorening,"
#,Uncompetitive Economy,Okonkurrenskraftig ekonomi,"
#,TechnologicalAdvantage,Technological Advantage,"
#,HighProductivity,High Productivity,"
#,StreetGangs,Street Gangs,"
#,AntisocialBehaviour,Antisocial Behavior,"
#,GeneralStrike,General Strike,"
#,TechnologyBackwater,Technology Backwater,"
#,InnerCityRiots,Inner City Riots,"
#,Organised Crime,Organized Crime,"
#,Alcoholism,Alcohol Abuse,"
#,VigilanteMobs,Vigilante Mobs,"
#,ArmedRobbery,Armed Robbery,"
#,ContagiousDisease,Contagious Disease,"
#,TeachersStrike,Teachers Strike,"
#,AsthmaEpidemic,Respiratory Disease,"
#,HospitalOvercrowding,Hospital Overcrowding,"
#,DrugAddiction,Drug Addiction,"
#,TeacherShortage,Teacher Shortage,"
#,DoctorsStrike,Doctors Strike,"
#,BrainDrain,Brain Drain,"
#,PetrolProtests,Petrol Protests,"
#,BlackMarket,Black Market,"
#,TaxEvasion,Tax Evasion,"
#,Rail Strike,Rail Strike,"
#,Homelessness,Homelessness,"
#,ClassWarfare,Class Warfare,"
#,Gridlock,Gridlock,"
#,InternetCrime,Internet Crime,"
#,DebtCrisis,Debt Crisis,"
#,CorporateExodus,Corporate Exodus,"
#,RaceRiots,Race Riots,"
#,Ghettos,Ghettos,"
#,Obesity,Obesity,"
#,CyberWarfare,Cyber Warfare,"
#,ArmedReligiousCommunities,Armed Religious Communities,"
#,EgalitarianSociety,Egalitarian Society,"Understanding our different backgrounds better and better these days due to cultural exchanges and education, people are now treating each other equally, blurring and even erasing the lines between different races, genders and beliefs. Living in such a society makes people very happy and less likely to cause harm to others.",The dawn of a new era is upon us. Our Society has become more equal and accepting than ever before. This makes many people happy.,"It was a great time of equality, but everything has to end eventually. People are more concerned with their own lives and worries again and less so to make others feel accepted and welcome."
#,ExtremeNationalism,Extreme Nationalism,"With a rise in patriotic feelings across the country, extremists have begun to publicly blame foreigners and ethnic minorities for these problems, demanding jobs for people that have been living in our country for generations first. Lacking hope and education, many people have begun to believe in these extremists, causing increased violence and racial tensions nationwide.","Using the despair and fear of the people, patriotic extremists are recruiting more and more people to their cause, which leads to an increase in racial tensions nationwide.","Workshops, outreach programs and better education have helped keeping people from bad nationalist influences, thus making our country a better and safer place again."
#,ExtremePoverty,Extreme Poverty,"It is never easy to be poor, but in our country the situation is as bad as it can get for them. Immense poverty has lead to starving people on the streets, begging for food and sleeping in dark corners and deserted buildings. Because of this, crime and alcohol consumption has increased and poor people are suffering from bad health.","As poverty increases, people are starting to lose hope, are forced to sleep in the streets, have to beg in the streets and consume more alcohol to numb their suffering.","While many of the poorer people in our country still are in a bad situation, a rise in the economy, donations, government programs and community workers have made it bearable again for most."
#,Cyclones,Cyclones,"Cyclone frequency and strength have increased dramatically. Crop loss and devastation are the result, with a terrible impact on the income for farmers, and an increase in the level of public concern about the environment.","Meteorologists have announced that a strong cyclone season is ahead, likely fueled by rising average temperatures.",Meteorologists announce that the worst effects of climate change are under control and extreme weather conditions have returned to normal levels.
#,Foodcrisis,Food Crisis,"Food prices have reached a critical point, driven by poor farm yields and overpopulation. Somehow we need to increase food supply, reduce demand or mitigate the impact of the prices for the poorest members of society.",The price of food has increased significantly over the past months. Tabloids are already calling it a food crisis.,Food prices have returned to normal levels.
#,DroneWars,Drone Protests,"Protests against domestic drone surveillance and drone strikes in foreign countries have turned violent. For now, the protests focus on key institutions and high tech companies but the costs for the public are already immense.",The state police warns you that protests against drone strikes and drone surveillance are getting more frequent.,Protests against drone strikes and drone surveillance have been contained. Violent protesters are getting prosecuted.
#,Rareearthcrisis,Rare earth crisis,Rare earth metals are necessary for a wide range of high tech products. Prices for these elements have risen significantly leading to supply bottlenecks and black markets. This crisis has a significant impact on productivity and our economy.,Economists warn you that the increased dependence on rare earth metals is leading to shortages in supply,"With the supply of rare earths secured, prices for these precious materials have stabilized."
#,Realestatebubble,Real estate bubble,"A combination of limited housing supply and rising population, together with property speculation has resulted in huge increases in housing costs. Current prices have made housing unaffordable for the young and the poor.",Real estate speculation is booming! Housing prices in urban areas are skyrocketing and there is no limit in sight.,Real estate prices have returned to levels that allow the general population to afford suitable homes for their families.
#,LudditeRiots,Luddite Riots,The increasing level of automation in our society has led to high concern amongst the low-skilled for their jobs. The result is a wave of luddite-style violence and sabotage against high tech corporations who have automated peoples jobs.,A new manifesto published on a trade union-related website calls for widespread civil unrest directed at the increasing levels of automation.,An agreement with trade unions and protesters that allows high-tech factories to commence production has been reached.
#,Antibiotics-ResitantBacteria,Antibiotics-Resistant Bacteria,"Antibiotic resistance has become a significant problem. The over-use of antibiotics in both healthcare and the food chain has led to a range of antibiotic resistant bacteria, bringing back illness and disease that we had once considered cured.",The WHO has issued a worldwide warning of outbreaks of antibiotics-resistant bacteria.,New inventions in medicine have reduced the dependence on antibiotics.
#,Watershortage,Water shortage,The rise of the average temperature has lead to severe droughts in several regions of the country. Farmers are the primary victims of this developments and food prices are on the rise.,Meteorologists have issued a warning that increases in the average temperature is leading to instabilities of the climate. Water shortages and droughts are the result of this development.,Meteorologists inform you that water supplies for your country are under control for now.
#,MultinationalTaxEvasion,Multinational Tax Evasion,"Traditional methods of taxing corporations break down when those organisations are large enough to span multiple continents. As more goods become digital and more money is spent on services than physical goods, defining exactly where sales take place and profits are earned becomes a legal nightmare. Large multinationals take advantage of this confusion to massively reduce the tax they pay in high-tax jurisdictions.",Government tax officials have noticed that a large number of multinational companies are using complex financial structures to move profits offshore and reduce their tax bills.,The extent to which multinational companies are able to evade paying tax on their profits has been bought under control and is no longer an issue.
